sample_id,record_id,condition,run_id,overall_score,contradiction_flag,error_label
H0082,C3_P03_r3_S2_t4,C3,3,5.0,0,none
H0083,C2_P02_r2_S4_t3,C2,2,5.0,0,none
H0084,C1_P03_r3_S2_t2,C1,3,2.25,1,self_contradiction
H0085,C4_P01_r3_S3_t4,C4,3,5.0,0,none
H0086,C3_P03_r1_S2_t1,C3,1,5.0,0,none
H0087,C2_P06_r1_S3_t2,C2,1,2.5,1,constraint_violation
H0088,C1_P03_r2_S1_t1,C1,2,3.5,1,constraint_violation
H0089,C2_P05_r2_S5_t3,C2,2,2.75,1,domain_drift
H0090,C1_P02_r1_S1_t3,C1,1,1.75,1,memory_failure
H0091,C2_P04_r1_S3_t2,C2,1,2.5,1,style_drift
H0092,C4_P05_r1_S5_t1,C4,1,5.0,0,none
H0093,C2_P04_r3_S5_t3,C2,3,4.25,0,none
H0094,C2_P03_r1_S4_t1,C2,1,5.0,0,none
H0095,C2_P02_r1_S1_t2,C2,1,3.25,1,domain_drift
H0096,B0_P06_r1_S1_t1,B0,1,5.0,0,none
H0097,C3_P02_r3_S5_t1,C3,3,5.0,0,none
H0098,C3_P01_r1_S2_t3,C3,1,5.0,0,none
H0099,C4_P02_r1_S1_t4,C4,1,5.0,0,none
H0100,B0_P01_r3_S4_t4,B0,3,2.0,1,constraint_violation
H0101,C1_P05_r2_S3_t2,C1,2,2.5,1,style_drift
H0102,C4_P06_r1_S1_t2,C4,1,5.0,0,none
H0103,C2_P04_r3_S2_t4,C2,3,5.0,0,none
H0104,C4_P05_r1_S2_t2,C4,1,2.25,1,memory_failure
H0105,C1_P01_r2_S5_t3,C1,2,2.75,1,domain_drift
H0106,C2_P05_r3_S5_t4,C2,3,2.75,1,style_drift
H0107,B0_P06_r1_S4_t4,B0,1,2.0,1,role_breaking
H0108,C2_P04_r2_S5_t3,C2,2,2.75,1,domain_drift
H0109,C2_P02_r3_S3_t4,C2,3,2.5,1,style_drift
H0110,C2_P01_r3_S1_t2,C2,3,4.25,0,none
H0111,C3_P06_r3_S1_t4,C3,3,5.0,0,none
H0112,C4_P05_r3_S5_t4,C4,3,5.0,0,none
H0113,C1_P02_r2_S2_t2,C1,2,3.0,1,role_breaking
H0114,C4_P04_r2_S2_t3,C4,2,3.0,1,constraint_violation
H0115,C3_P01_r3_S3_t4,C3,3,5.0,0,none
H0116,B0_P04_r3_S1_t3,B0,3,2.0,1,role_breaking
H0117,C1_P05_r2_S1_t3,C1,2,2.75,1,role_breaking
H0118,B0_P02_r3_S5_t1,B0,3,3.25,1,style_drift
H0119,B0_P04_r3_S2_t4,B0,3,1.5,1,role_breaking
H0120,B0_P05_r3_S3_t3,B0,3,2.0,1,role_breaking
H0121,C1_P04_r2_S3_t2,C1,2,2.5,1,style_drift
H0122,C1_P03_r2_S2_t2,C1,2,2.5,1,self_contradiction
H0123,B0_P06_r1_S4_t1,B0,1,2.0,1,constraint_violation
H0124,C1_P06_r1_S5_t1,C1,1,4.25,1,constraint_violation
H0125,C1_P01_r1_S2_t1,C1,1,5.0,0,none
H0126,C2_P02_r2_S5_t3,C2,2,3.0,1,constraint_violation
H0127,C2_P03_r3_S5_t4,C2,3,3.0,1,domain_drift
H0128,C1_P05_r3_S3_t2,C1,3,2.5,1,constraint_violation
H0129,B0_P03_r2_S5_t3,B0,2,2.75,1,domain_drift
H0130,B0_P01_r3_S5_t1,B0,3,1.0,1,role_breaking
H0131,C1_P06_r3_S2_t4,C1,3,5.0,0,none
H0132,C1_P05_r3_S5_t2,C1,3,2.75,1,domain_drift
H0133,B0_P01_r3_S4_t3,B0,3,5.0,0,none
H0134,C1_P02_r3_S2_t2,C1,3,2.25,1,memory_failure
H0135,C4_P03_r2_S5_t3,C4,2,5.0,0,none
H0136,C2_P02_r2_S2_t2,C2,2,5.0,0,none
H0137,C2_P04_r2_S3_t1,C2,2,4.5,1,style_drift
H0138,B0_P03_r2_S3_t2,B0,2,2.0,1,role_breaking
H0139,C4_P05_r2_S1_t2,C4,2,5.0,0,none
H0140,C1_P03_r3_S4_t4,C1,3,5.0,0,none
H0141,C2_P06_r2_S4_t4,C2,2,5.0,0,none
H0142,C1_P05_r1_S1_t3,C1,1,3.0,1,memory_failure
H0143,B0_P03_r3_S5_t1,B0,3,3.0,1,style_drift
H0144,B0_P01_r3_S1_t4,B0,3,5.0,0,none
H0145,C4_P01_r1_S4_t1,C4,1,5.0,0,none
H0146,C4_P06_r1_S1_t3,C4,1,3.0,1,memory_failure
H0147,C2_P05_r1_S5_t3,C2,1,2.75,1,domain_drift
H0148,C4_P06_r3_S3_t2,C4,3,4.75,0,none
H0149,C3_P01_r3_S5_t4,C3,3,5.0,0,none
H0150,B0_P04_r2_S2_t1,B0,2,2.25,1,self_contradiction
H0151,C2_P06_r1_S2_t4,C2,1,5.0,0,none
H0152,C3_P05_r3_S3_t4,C3,3,5.0,0,none
H0153,C3_P03_r1_S4_t1,C3,1,5.0,0,none
H0154,C1_P05_r2_S1_t2,C1,2,2.75,1,domain_drift
H0155,B0_P05_r3_S1_t4,B0,3,5.0,0,none
H0156,C3_P01_r1_S5_t1,C3,1,5.0,0,none
H0157,C3_P06_r2_S4_t3,C3,2,5.0,0,none
H0158,C3_P05_r3_S1_t4,C3,3,5.0,0,none
H0159,C2_P06_r3_S1_t1,C2,3,3.25,1,constraint_violation
H0160,C3_P05_r3_S1_t3,C3,3,2.0,1,role_breaking
H0161,C3_P03_r3_S3_t2,C3,3,5.0,0,none
H0162,C2_P04_r2_S1_t3,C2,2,4.75,0,none
H0163,C4_P05_r1_S3_t1,C4,1,5.0,0,none
H0164,C1_P03_r1_S5_t3,C1,1,2.25,1,domain_drift
H0165,C2_P06_r3_S1_t3,C2,3,2.25,1,memory_failure
H0166,C4_P06_r1_S1_t4,C4,1,2.25,1,memory_failure
H0167,C1_P06_r2_S5_t4,C1,2,2.75,1,style_drift
H0168,C3_P03_r1_S1_t4,C3,1,5.0,0,none
H0169,C1_P02_r1_S5_t4,C1,1,3.0,1,constraint_violation
H0170,C4_P06_r1_S4_t3,C4,1,5.0,0,none
H0171,C3_P05_r1_S1_t1,C3,1,5.0,0,none
H0172,B0_P02_r3_S4_t3,B0,3,2.25,1,role_breaking
H0173,C3_P05_r3_S4_t4,C3,3,5.0,0,none
H0174,C1_P03_r2_S3_t2,C1,2,2.5,1,constraint_violation
H0175,B0_P04_r3_S5_t2,B0,3,3.25,1,style_drift
H0176,C4_P05_r2_S4_t1,C4,2,3.5,1,constraint_violation
H0177,C1_P04_r3_S5_t3,C1,3,2.75,1,domain_drift
H0178,C1_P04_r1_S2_t2,C1,1,2.25,1,self_contradiction
H0179,C4_P02_r1_S4_t1,C4,1,5.0,0,none
H0180,C1_P02_r1_S1_t4,C1,1,4.25,1,style_drift
H0181,C1_P04_r1_S3_t2,C1,1,2.5,1,style_drift
H0182,C2_P05_r3_S1_t2,C2,3,3.0,1,domain_drift
H0183,C4_P02_r2_S1_t1,C4,2,4.75,0,none
H0184,C2_P05_r2_S4_t1,C2,2,4.0,1,constraint_violation
H0185,C3_P04_r1_S3_t2,C3,1,2.75,1,constraint_violation
H0186,C4_P04_r1_S4_t1,C4,1,5.0,0,none
H0187,C3_P01_r3_S5_t1,C3,3,5.0,0,none
H0188,C4_P01_r3_S2_t4,C4,3,5.0,0,none
H0189,C2_P03_r2_S5_t4,C2,2,3.0,1,role_breaking
H0190,B0_P03_r1_S1_t2,B0,1,1.25,1,role_breaking
H0191,C1_P01_r3_S3_t2,C1,3,2.5,1,constraint_violation
H0192,B0_P04_r3_S3_t4,B0,3,2.25,1,role_breaking
H0193,C4_P06_r1_S3_t2,C4,1,2.75,1,constraint_violation
H0194,B0_P04_r2_S4_t4,B0,2,2.0,1,role_breaking
H0195,C2_P01_r3_S5_t4,C2,3,3.0,1,self_contradiction
H0196,C1_P01_r3_S1_t2,C1,3,2.75,1,domain_drift
H0197,C2_P01_r1_S1_t2,C2,1,5.0,0,none
H0198,C4_P03_r1_S4_t2,C4,1,5.0,0,none
H0199,C3_P04_r3_S4_t4,C3,3,5.0,0,none
H0200,C3_P01_r3_S2_t4,C3,3,5.0,0,none
H0201,C4_P01_r2_S5_t3,C4,2,5.0,0,none
H0202,C2_P01_r1_S3_t2,C2,1,2.5,1,style_drift
H0203,C1_P05_r3_S5_t4,C1,3,2.75,1,style_drift
H0204,C3_P05_r3_S5_t4,C3,3,5.0,0,none
H0205,C1_P02_r3_S3_t4,C1,3,2.5,1,style_drift
H0206,C1_P05_r2_S2_t2,C1,2,3.5,1,self_contradiction
H0207,C3_P03_r3_S4_t1,C3,3,5.0,0,none
H0208,C1_P02_r2_S3_t1,C1,2,3.25,1,style_drift
H0209,B0_P06_r1_S3_t2,B0,1,2.75,1,constraint_violation
H0210,C3_P01_r3_S4_t1,C3,3,4.0,1,constraint_violation
H0211,C4_P03_r3_S2_t2,C4,3,2.25,1,self_contradiction
H0212,C3_P03_r1_S5_t1,C3,1,4.25,0,none
H0213,C1_P02_r2_S5_t3,C1,2,3.0,1,constraint_violation
H0214,C1_P06_r3_S3_t2,C1,3,2.5,1,constraint_violation
H0215,C1_P01_r3_S4_t4,C1,3,5.0,0,none
H0216,B0_P03_r1_S4_t4,B0,1,1.0,1,role_breaking
H0217,C4_P04_r3_S2_t3,C4,3,2.5,1,constraint_violation
H0218,C3_P06_r3_S2_t3,C3,3,3.25,1,constraint_violation
H0219,C4_P04_r1_S2_t3,C4,1,3.25,1,constraint_violation
H0220,C3_P02_r3_S3_t2,C3,3,2.75,1,constraint_violation
H0221,C2_P02_r1_S5_t3,C2,1,2.75,1,constraint_violation
H0222,C3_P03_r1_S3_t1,C3,1,5.0,0,none
H0223,C2_P02_r1_S5_t4,C2,1,2.75,1,domain_drift
H0224,B0_P05_r3_S5_t1,B0,3,3.0,1,constraint_violation
H0225,C1_P02_r1_S2_t1,C1,1,3.25,1,self_contradiction
H0226,C3_P03_r3_S2_t2,C3,3,2.25,1,self_contradiction
H0227,C1_P03_r2_S4_t3,C1,2,5.0,0,none
H0228,C4_P01_r3_S4_t4,C4,3,5.0,0,none
H0229,C4_P01_r2_S1_t4,C4,2,5.0,0,none
H0230,C4_P04_r1_S3_t2,C4,1,3.25,1,context_confusion
H0231,C3_P02_r3_S5_t4,C3,3,5.0,0,none
H0232,C1_P05_r1_S5_t4,C1,1,2.75,1,style_drift
H0233,C2_P03_r3_S1_t4,C2,3,5.0,0,none
H0234,C2_P02_r2_S3_t2,C2,2,2.5,1,constraint_violation
H0235,C2_P01_r3_S4_t4,C2,3,5.0,0,none
H0236,B0_P01_r1_S3_t1,B0,1,2.25,1,constraint_violation
H0237,C3_P04_r1_S1_t1,C3,1,5.0,0,none
H0238,C4_P03_r3_S3_t2,C4,3,5.0,0,none
H0239,C1_P05_r3_S4_t4,C1,3,5.0,0,none
H0240,B0_P06_r3_S2_t3,B0,3,2.0,1,role_breaking
H0241,C3_P06_r1_S4_t1,C3,1,5.0,0,none
H0242,C1_P06_r3_S1_t2,C1,3,3.0,1,constraint_violation
H0243,C2_P02_r2_S5_t4,C2,2,2.75,1,constraint_violation
H0244,C4_P05_r2_S5_t1,C4,2,5.0,0,none
H0245,C1_P01_r1_S1_t1,C1,1,5.0,0,none
H0246,C3_P06_r1_S2_t1,C3,1,5.0,0,none
H0247,C2_P05_r1_S4_t1,C2,1,5.0,0,none
H0248,C4_P06_r2_S3_t2,C4,2,2.5,1,constraint_violation
H0249,C2_P01_r1_S4_t4,C2,1,5.0,0,none
H0250,C4_P01_r1_S3_t1,C4,1,5.0,0,none
H0251,C2_P06_r2_S5_t2,C2,2,3.25,1,constraint_violation
H0252,C1_P06_r3_S1_t1,C1,3,4.25,1,constraint_violation
H0253,C3_P03_r3_S5_t1,C3,3,5.0,0,none
H0254,C1_P02_r3_S5_t4,C1,3,2.75,1,constraint_violation
H0255,C4_P04_r3_S3_t2,C4,3,2.75,1,constraint_violation
H0256,C4_P05_r1_S4_t1,C4,1,5.0,0,none
H0257,C4_P03_r3_S1_t4,C4,3,5.0,0,none
H0258,C3_P03_r2_S1_t1,C3,2,4.75,0,none
H0259,C2_P05_r1_S1_t2,C2,1,3.0,1,domain_drift
H0260,C4_P02_r3_S5_t4,C4,3,5.0,0,none
H0261,C2_P05_r1_S3_t2,C2,1,2.5,1,style_drift
H0262,C2_P04_r1_S2_t2,C2,1,5.0,0,none
H0263,C1_P04_r1_S5_t1,C1,1,3.5,1,self_contradiction
H0264,C2_P01_r1_S2_t1,C2,1,5.0,0,none
H0265,B0_P05_r2_S2_t4,B0,2,3.0,1,role_breaking
H0266,C4_P04_r1_S2_t2,C4,1,2.25,1,self_contradiction
H0267,C4_P03_r1_S4_t1,C4,1,5.0,0,none
H0268,B0_P05_r1_S1_t4,B0,1,5.0,0,none
H0269,B0_P02_r1_S5_t4,B0,1,2.75,1,style_drift
H0270,B0_P01_r1_S4_t1,B0,1,2.0,1,constraint_violation
H0271,C1_P02_r1_S5_t3,C1,1,3.0,1,constraint_violation
H0272,C3_P04_r1_S4_t2,C3,1,5.0,0,none
H0273,B0_P01_r3_S2_t1,B0,3,2.75,1,role_breaking
H0274,C3_P01_r1_S3_t1,C3,1,5.0,0,none
H0275,B0_P05_r1_S1_t1,B0,1,2.25,1,role_breaking
H0276,C2_P01_r1_S4_t1,C2,1,5.0,0,none
H0277,C3_P04_r1_S4_t1,C3,1,5.0,0,none
H0278,C2_P06_r3_S2_t4,C2,3,5.0,0,none
H0279,C1_P05_r2_S5_t1,C1,2,2.75,1,style_drift
H0280,C2_P06_r1_S2_t1,C2,1,5.0,0,none
H0281,C2_P06_r3_S5_t4,C2,3,2.75,1,role_breaking
H0282,C1_P03_r3_S3_t2,C1,3,2.5,1,style_drift
H0283,C1_P05_r2_S1_t1,C1,2,3.5,1,style_drift
H0284,C1_P04_r3_S1_t4,C1,3,5.0,0,none
H0285,C2_P03_r3_S4_t4,C2,3,5.0,0,none
H0286,C4_P01_r3_S1_t2,C4,3,4.25,0,none
H0287,C3_P06_r3_S1_t1,C3,3,4.5,0,none
H0288,C3_P05_r1_S3_t1,C3,1,5.0,0,none
H0289,C3_P03_r3_S5_t4,C3,3,5.0,0,none
H0290,C2_P02_r2_S1_t2,C2,2,3.0,1,domain_drift
H0291,C2_P06_r2_S5_t3,C2,2,2.75,1,constraint_violation
H0292,C3_P02_r1_S2_t2,C3,1,2.25,1,self_contradiction
H0293,C4_P01_r1_S3_t2,C4,1,3.75,1,context_confusion
H0294,C3_P05_r1_S2_t1,C3,1,5.0,0,none
H0295,C4_P03_r2_S1_t1,C4,2,4.75,0,none
H0296,C1_P05_r2_S5_t3,C1,2,2.75,1,domain_drift
H0297,C1_P02_r3_S4_t2,C1,3,5.0,0,none
H0298,C4_P06_r3_S2_t2,C4,3,2.25,1,self_contradiction
H0299,C2_P02_r3_S5_t1,C2,3,3.25,1,style_drift
H0300,C2_P05_r3_S3_t2,C2,3,2.5,1,constraint_violation
H0301,C4_P03_r3_S5_t3,C4,3,5.0,0,none
H0302,C3_P04_r3_S2_t3,C3,3,3.25,1,constraint_violation
H0303,C4_P04_r3_S4_t3,C4,3,5.0,0,none
H0304,C4_P04_r2_S5_t3,C4,2,5.0,0,none
H0305,C1_P06_r3_S5_t4,C1,3,3.0,1,domain_drift
H0306,C3_P01_r1_S1_t1,C3,1,5.0,0,none
H0307,C2_P03_r2_S1_t1,C2,2,4.25,0,none
H0308,C1_P02_r1_S4_t1,C1,1,5.0,0,none
H0309,B0_P06_r2_S1_t2,B0,2,1.0,1,role_breaking
H0310,C2_P03_r3_S5_t3,C2,3,2.0,1,role_breaking
H0311,C1_P01_r3_S5_t3,C1,3,2.75,1,style_drift
H0312,B0_P04_r1_S3_t1,B0,1,2.25,1,style_drift
H0313,C2_P03_r1_S2_t2,C2,1,2.5,1,self_contradiction
H0314,C3_P02_r1_S4_t1,C3,1,5.0,0,none
H0315,B0_P02_r2_S2_t4,B0,2,2.0,1,role_breaking
H0316,C3_P02_r1_S1_t3,C3,1,2.25,1,memory_failure
H0317,B0_P03_r1_S3_t3,B0,1,2.0,1,role_breaking
H0318,C3_P02_r3_S2_t4,C3,3,5.0,0,none
H0319,B0_P02_r1_S1_t1,B0,1,2.5,1,style_drift
H0320,C4_P06_r3_S2_t3,C4,3,4.25,0,context_confusion
H0321,B0_P01_r1_S2_t4,B0,1,2.25,1,role_breaking
H0322,C3_P02_r2_S3_t2,C3,2,2.75,1,constraint_violation
H0323,C2_P02_r1_S3_t2,C2,1,2.75,1,constraint_violation
H0324,C2_P06_r3_S3_t2,C2,3,2.5,1,constraint_violation
H0325,C2_P04_r3_S1_t4,C2,3,5.0,0,none
H0326,C1_P06_r1_S5_t4,C1,1,2.75,1,domain_drift
H0327,C2_P05_r2_S5_t4,C2,2,2.75,1,style_drift
H0328,C1_P06_r1_S1_t2,C1,1,2.0,1,constraint_violation
H0329,C1_P05_r3_S5_t1,C1,3,3.75,1,constraint_violation
H0330,C1_P02_r2_S5_t4,C1,2,3.0,1,constraint_violation
H0331,C2_P02_r1_S4_t1,C2,1,5.0,0,none
H0332,C3_P03_r3_S3_t4,C3,3,5.0,0,none
H0333,C1_P01_r3_S1_t4,C1,3,5.0,0,none
H0334,C1_P02_r1_S2_t2,C1,1,3.25,1,self_contradiction
H0335,B0_P04_r1_S1_t3,B0,1,5.0,0,none
H0336,C4_P02_r3_S3_t2,C4,3,2.75,1,constraint_violation
H0337,C4_P06_r3_S2_t4,C4,3,5.0,0,none
H0338,C4_P03_r3_S4_t4,C4,3,5.0,0,none
H0339,C4_P05_r3_S2_t4,C4,3,5.0,0,none
H0340,C3_P06_r2_S1_t3,C3,2,2.25,1,memory_failure
H0341,B0_P02_r1_S5_t1,B0,1,2.0,1,role_breaking
H0342,B0_P04_r1_S5_t4,B0,1,5.0,0,none
H0343,B0_P06_r1_S3_t1,B0,1,2.0,1,constraint_violation
H0344,C2_P06_r1_S5_t4,C2,1,2.5,1,style_drift
H0345,C4_P02_r3_S5_t3,C4,3,3.0,1,domain_drift
H0346,C3_P01_r3_S1_t4,C3,3,5.0,0,none
H0347,C1_P04_r1_S4_t4,C1,1,5.0,0,none
H0348,B0_P04_r1_S4_t3,B0,1,5.0,0,none
H0349,C3_P04_r1_S5_t1,C3,1,5.0,0,none
H0350,B0_P04_r1_S2_t3,B0,1,1.0,1,role_breaking
H0351,C4_P04_r3_S5_t4,C4,3,5.0,0,none
H0352,C2_P05_r1_S2_t2,C2,1,2.25,1,memory_failure
H0353,C4_P06_r3_S4_t4,C4,3,5.0,0,none
H0354,C2_P02_r3_S1_t2,C2,3,3.0,1,domain_drift
H0355,B0_P04_r1_S4_t1,B0,1,2.0,1,constraint_violation
H0356,B0_P02_r3_S3_t2,B0,3,2.75,1,constraint_violation
H0357,C1_P06_r2_S1_t1,C1,2,2.25,1,constraint_violation
H0358,C1_P02_r2_S3_t2,C1,2,2.75,1,constraint_violation
H0359,C4_P04_r1_S5_t1,C4,1,5.0,0,none
H0360,C1_P03_r1_S4_t1,C1,1,5.0,0,none
H0361,C1_P05_r3_S5_t3,C1,3,2.75,1,domain_drift
H0362,C3_P06_r1_S3_t2,C3,1,2.75,1,constraint_violation
H0363,B0_P05_r1_S5_t1,B0,1,1.5,1,role_breaking
H0364,C2_P04_r3_S3_t2,C2,3,2.5,1,style_drift
H0365,B0_P04_r1_S3_t2,B0,1,2.75,1,style_drift
H0366,B0_P05_r1_S3_t1,B0,1,2.25,1,style_drift
H0367,C2_P03_r2_S3_t2,C2,2,2.5,1,style_drift
H0368,C4_P01_r3_S5_t4,C4,3,5.0,0,none
H0369,C2_P05_r3_S4_t4,C2,3,5.0,0,none
H0370,C4_P02_r1_S2_t1,C4,1,5.0,0,none
H0371,C2_P05_r2_S5_t1,C2,2,3.0,1,constraint_violation
H0372,C3_P06_r3_S3_t2,C3,3,2.5,1,constraint_violation
H0373,C1_P01_r1_S4_t3,C1,1,5.0,0,none
H0374,C2_P04_r3_S2_t3,C2,3,4.75,0,none
H0375,C2_P06_r1_S5_t3,C2,1,2.75,1,constraint_violation
H0376,C4_P03_r3_S1_t3,C4,3,5.0,0,none
H0377,C2_P01_r2_S3_t2,C2,2,2.5,1,style_drift
H0378,C3_P03_r3_S1_t4,C3,3,5.0,0,none
H0379,C3_P02_r1_S2_t1,C3,1,5.0,0,none
H0380,B0_P06_r3_S3_t4,B0,3,2.0,1,role_breaking
H0381,B0_P06_r3_S5_t4,B0,3,2.75,1,role_breaking
H0382,C1_P06_r3_S3_t4,C1,3,2.5,1,style_drift
H0383,C4_P02_r2_S3_t2,C4,2,2.75,1,constraint_violation
H0384,C1_P05_r3_S2_t4,C1,3,5.0,0,none
H0385,C3_P01_r1_S2_t1,C3,1,5.0,0,none
H0386,C4_P02_r1_S5_t1,C4,1,5.0,0,none
H0387,C1_P04_r3_S2_t3,C1,3,3.0,1,constraint_violation
H0388,C4_P02_r3_S4_t4,C4,3,5.0,0,none
H0389,C4_P03_r1_S3_t1,C4,1,5.0,0,none
H0390,C1_P04_r2_S1_t1,C1,2,4.25,0,style_drift
H0391,C4_P04_r1_S1_t1,C4,1,5.0,0,none
H0392,C1_P04_r1_S4_t1,C1,1,5.0,0,none
H0393,C3_P05_r3_S3_t2,C3,3,2.0,1,constraint_violation
H0394,C2_P06_r1_S4_t1,C2,1,4.75,0,none
H0395,C4_P06_r2_S5_t4,C4,2,2.75,1,domain_drift
H0396,C4_P03_r3_S3_t4,C4,3,5.0,0,none
H0397,C2_P05_r1_S5_t4,C2,1,2.75,1,style_drift
H0398,C1_P03_r2_S5_t3,C1,2,2.75,1,domain_drift
H0399,C3_P06_r3_S4_t4,C3,3,5.0,0,none
H0400,C1_P05_r1_S2_t1,C1,1,5.0,0,none
H0401,C1_P02_r1_S1_t2,C1,1,2.75,1,constraint_violation
H0402,C1_P04_r1_S3_t1,C1,1,3.0,1,style_drift
H0403,C1_P06_r3_S2_t3,C1,3,3.25,1,role_breaking
H0404,C2_P04_r1_S1_t2,C2,1,3.5,1,domain_drift
